Descriptors combination,Match Count
BRISK-BRIEF:,1704
BRISK-BRISK,1570
BRISK-FREAK,1524
BRISK-ORB,1514
AKAZE-BRIEF:,1266
AKAZE-AKAZE:,1259
AKAZE-BRISK:,1215
AKAZE-FREAK,1187
AKAZE-ORB,1182
FAST-BRIEF,1099
FAST-ORB,1071
SHITOMASI-BRIEF,944
SHITOMASI-ORB,908
FAST-BRISK,899
FAST-FREAK,878
SHITOMASI-FREAK,768
SHITOMASI-BRISK,767
ORB-ORB,763
ORB-BRISK,751
SIFT-BRIEF,702
SIFT-FREAK,593
SIFT-BRISK,592
ORB-BRIEF,545
ORB-FREAK,420
HARRIS-ORB,146
HARRIS-BRIEF,146
HARRIS-BRISK,129
HARRIS-FREAK,128